"pet_id","visit_date","issue","resolution"
6482,2022-11-02,"Dental Cleaning","Cleaning done, no dental issues"
1239,2023-05-01,"Annual Checkup","Diet adjustment recommended for weight management"
1169,2022-11-21,"Dental Cleaning","Cleaning done, no dental issues"
4592,2023-10-06,"Dental Cleaning","Cleaning done, no dental issues"
3223,2023-07-24,"Annual Checkup","All clear, healthy diet recommended"
1334,2023-12-05,"Annual Checkup","All clear, healthy diet recommended"
7956,2023-03-05,"Dental Cleaning","Cleaning done, no dental issues"
6896,2022-07-26,"Annual Checkup","Vaccination completed, next due in 1 year"
8244,2023-07-04,"Injury","Physical therapy recommended for joint issues"
4777,2022-09-22,"Injury","Sprain identified, rest and limited movement advised"
7833,2022-11-03,"Annual Checkup","All clear, healthy diet recommended"
4584,2023-07-04,"Annual Checkup","All clear, healthy diet recommended"
8387,2023-05-28,"Annual Checkup","Diet adjustment recommended for weight management"
5643,2023-07-23,"Injury","Sprain identified, rest and limited movement advised"
4001,2023-07-31,"Injury","Minor surgery performed, recovery monitored"
9305,2022-08-14,"Annual Checkup","Diet adjustment recommended for weight management"
5288,2022-05-23,"Dental Cleaning","Cleaning done, no dental issues"
5984,2023-12-10,"Annual Checkup","Diet adjustment recommended for weight management"
8244,2022-12-29,"Annual Checkup","All clear, healthy diet recommended"
1345,2023-06-17,"Dental Cleaning","Cleaning done, no dental issues"
9227,2023-10-29,"Injury","Minor surgery performed, recovery monitored"
3291,2022-05-07,"Annual Checkup","All clear, healthy diet recommended"
6725,2022-06-26,"Annual Checkup","Diet adjustment recommended for weight management"
9223,2022-12-22,"Annual Checkup","Diet adjustment recommended for weight management"
6534,2023-04-16,"Annual Checkup","Vaccination completed, next due in 1 year"
3723,2022-10-18,"Annual Checkup","Vaccination completed, next due in 1 year"
9721,2023-12-15,"Annual Checkup","All clear, healthy diet recommended"
3638,2023-07-26,"Annual Checkup","Vaccination completed, next due in 1 year"
1968,2022-12-11,"Annual Checkup","Vaccination completed, next due in 1 year"
121,2022-12-04,"Ear Infection","Medication and follow-up in 2 weeks for infection"
751,2023-10-29,"Dental Cleaning","Cleaning done, no dental issues"
986,2023-08-12,"Dental Cleaning","Cleaning done, no dental issues"
9721,2022-12-24,"Annual Checkup","Vaccination completed, next due in 1 year"
2794,2022-09-01,"Annual Checkup","Diet adjustment recommended for weight management"
2299,2022-05-27,"Annual Checkup","Vaccination completed, next due in 1 year"
751,2022-10-15,"Annual Checkup","Diet adjustment recommended for weight management"
2058,2023-08-29,"Annual Checkup","Vaccination completed, next due in 1 year"
7352,2022-10-11,"Annual Checkup","All clear, healthy diet recommended"
6331,2023-07-22,"Injury","Sprain identified, rest and limited movement advised"
2901,2022-07-17,"Injury","Sprain identified, rest and limited movement advised"
4452,2022-04-01,"Annual Checkup","Diet adjustment recommended for weight management"
4995,2022-12-24,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7298,2023-04-27,"Dental Cleaning","Cleaning done, no dental issues"
6901,2023-11-22,"Injury","Sprain identified, rest and limited movement advised"
1585,2023-08-07,"Dental Cleaning","Cleaning done, no dental issues"
6897,2023-10-02,"Annual Checkup","All clear, healthy diet recommended"
7190,2022-08-29,"Injury","Physical therapy recommended for joint issues"
9684,2022-12-09,"Dental Cleaning","Cleaning done, no dental issues"
741,2022-06-29,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9018,2022-04-03,"Annual Checkup","Vaccination completed, next due in 1 year"
428,2023-03-31,"Annual Checkup","Vaccination completed, next due in 1 year"
3846,2022-11-24,"Injury","Sprain identified, rest and limited movement advised"
8993,2023-06-23,"Annual Checkup","All clear, healthy diet recommended"
5699,2022-10-13,"Dental Cleaning","Cleaning done, no dental issues"
2278,2022-07-07,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3695,2023-10-23,"Annual Checkup","Vaccination completed, next due in 1 year"
5632,2022-04-28,"Dental Cleaning","Cleaning done, no dental issues"
6689,2023-12-11,"Annual Checkup","Diet adjustment recommended for weight management"
9230,2023-03-28,"Dental Cleaning","Cleaning done, no dental issues"
3686,2023-07-05,"Dental Cleaning","Cleaning done, no dental issues"
9472,2022-09-05,"Injury","Minor surgery performed, recovery monitored"
7482,2023-02-14,"Dental Cleaning","Cleaning done, no dental issues"
9578,2023-09-29,"Annual Checkup","All clear, healthy diet recommended"
6409,2022-05-16,"Dental Cleaning","Cleaning done, no dental issues"
4060,2023-02-22,"Annual Checkup","All clear, healthy diet recommended"
8840,2023-05-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7393,2022-11-26,"Injury","Minor surgery performed, recovery monitored"
5501,2023-05-11,"Annual Checkup","Diet adjustment recommended for weight management"
9695,2023-06-28,"Ear Infection","Medication and follow-up in 2 weeks for infection"
5288,2022-04-24,"Annual Checkup","All clear, healthy diet recommended"
1888,2022-11-27,"Annual Checkup","Diet adjustment recommended for weight management"
5445,2022-10-14,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3484,2023-06-23,"Annual Checkup","Diet adjustment recommended for weight management"
3723,2022-06-21,"Annual Checkup","Vaccination completed, next due in 1 year"
8877,2023-02-13,"Annual Checkup","Diet adjustment recommended for weight management"
5017,2023-06-13,"Annual Checkup","Vaccination completed, next due in 1 year"
6534,2023-07-08,"Injury","Physical therapy recommended for joint issues"
7680,2023-06-22,"Annual Checkup","All clear, healthy diet recommended"
5107,2022-05-07,"Injury","Minor surgery performed, recovery monitored"
5445,2022-06-28,"Injury","Minor surgery performed, recovery monitored"
7833,2022-04-28,"Injury","Physical therapy recommended for joint issues"
3484,2022-06-16,"Injury","Minor surgery performed, recovery monitored"
532,2022-07-30,"Injury","Minor surgery performed, recovery monitored"
8691,2023-06-15,"Annual Checkup","Diet adjustment recommended for weight management"
3220,2022-12-07,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9018,2023-02-09,"Annual Checkup","Diet adjustment recommended for weight management"
1382,2022-08-24,"Annual Checkup","Vaccination completed, next due in 1 year"
8710,2023-03-24,"Annual Checkup","Diet adjustment recommended for weight management"
5457,2022-11-23,"Injury","Sprain identified, rest and limited movement advised"
7716,2023-01-26,"Dental Cleaning","Cleaning done, no dental issues"
3767,2023-09-27,"Annual Checkup","Diet adjustment recommended for weight management"
5919,2022-05-24,"Dental Cleaning","Cleaning done, no dental issues"
9721,2023-05-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2735,2023-10-25,"Annual Checkup","All clear, healthy diet recommended"
5421,2022-04-17,"Annual Checkup","Vaccination completed, next due in 1 year"
2717,2023-11-14,"Annual Checkup","Diet adjustment recommended for weight management"
3686,2023-07-11,"Injury","Minor surgery performed, recovery monitored"
1968,2022-11-26,"Injury","Sprain identified, rest and limited movement advised"
3988,2022-04-23,"Annual Checkup","Diet adjustment recommended for weight management"
4192,2023-04-12,"Annual Checkup","Diet adjustment recommended for weight management"
556,2023-04-04,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2755,2023-05-21,"Injury","Physical therapy recommended for joint issues"
8103,2023-12-06,"Ear Infection","Medication and follow-up in 2 weeks for infection"
4777,2022-08-14,"Dental Cleaning","Cleaning done, no dental issues"
7113,2023-02-02,"Dental Cleaning","Cleaning done, no dental issues"
9236,2023-01-26,"Annual Checkup","Diet adjustment recommended for weight management"
774,2023-12-24,"Annual Checkup","Diet adjustment recommended for weight management"
2144,2022-06-13,"Annual Checkup","All clear, healthy diet recommended"
9230,2022-12-13,"Annual Checkup","Diet adjustment recommended for weight management"
215,2022-12-10,"Annual Checkup","Vaccination completed, next due in 1 year"
2342,2022-06-18,"Annual Checkup","All clear, healthy diet recommended"
7799,2023-09-09,"Annual Checkup","Diet adjustment recommended for weight management"
9167,2023-04-02,"Injury","Sprain identified, rest and limited movement advised"
3228,2022-09-16,"Injury","Sprain identified, rest and limited movement advised"
2178,2023-08-26,"Dental Cleaning","Cleaning done, no dental issues"
7891,2023-12-29,"Annual Checkup","All clear, healthy diet recommended"
6683,2023-06-13,"Annual Checkup","Vaccination completed, next due in 1 year"
9011,2022-07-24,"Dental Cleaning","Cleaning done, no dental issues"
1006,2023-05-16,"Ear Infection","Medication and follow-up in 2 weeks for infection"
5863,2023-06-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8103,2022-06-21,"Injury","Physical therapy recommended for joint issues"
9632,2022-04-26,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7891,2022-12-18,"Annual Checkup","All clear, healthy diet recommended"
1297,2022-09-03,"Annual Checkup","Vaccination completed, next due in 1 year"
5037,2022-12-22,"Dental Cleaning","Cleaning done, no dental issues"
9813,2022-07-03,"Injury","Physical therapy recommended for joint issues"
7825,2022-12-08,"Injury","Minor surgery performed, recovery monitored"
9407,2023-10-11,"Dental Cleaning","Cleaning done, no dental issues"
8746,2023-03-14,"Annual Checkup","Vaccination completed, next due in 1 year"
3735,2023-04-10,"Annual Checkup","Vaccination completed, next due in 1 year"
1888,2022-11-11,"Annual Checkup","All clear, healthy diet recommended"
9618,2022-04-09,"Dental Cleaning","Cleaning done, no dental issues"
7891,2023-02-28,"Annual Checkup","Vaccination completed, next due in 1 year"
4060,2022-08-21,"Annual Checkup","Vaccination completed, next due in 1 year"
3225,2022-11-11,"Injury","Physical therapy recommended for joint issues"
2843,2022-05-16,"Dental Cleaning","Cleaning done, no dental issues"
3225,2022-09-07,"Annual Checkup","Diet adjustment recommended for weight management"
3309,2023-10-03,"Annual Checkup","All clear, healthy diet recommended"
4937,2022-08-07,"Injury","Physical therapy recommended for joint issues"
9930,2023-03-31,"Dental Cleaning","Cleaning done, no dental issues"
5540,2022-05-10,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2729,2023-06-07,"Annual Checkup","Diet adjustment recommended for weight management"
2869,2023-07-29,"Dental Cleaning","Cleaning done, no dental issues"
2729,2022-09-24,"Dental Cleaning","Cleaning done, no dental issues"
9407,2022-06-10,"Annual Checkup","Vaccination completed, next due in 1 year"
9,2023-08-02,"Injury","Sprain identified, rest and limited movement advised"
5457,2022-09-10,"Annual Checkup","Vaccination completed, next due in 1 year"
6816,2022-09-11,"Dental Cleaning","Cleaning done, no dental issues"
3147,2022-10-16,"Annual Checkup","All clear, healthy diet recommended"
217,2022-12-10,"Injury","Sprain identified, rest and limited movement advised"
3088,2022-07-03,"Annual Checkup","All clear, healthy diet recommended"
3828,2023-07-18,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9712,2022-09-20,"Annual Checkup","Vaccination completed, next due in 1 year"
3884,2023-04-25,"Annual Checkup","Diet adjustment recommended for weight management"
2544,2023-11-13,"Injury","Minor surgery performed, recovery monitored"
3587,2023-01-27,"Dental Cleaning","Cleaning done, no dental issues"
5406,2022-12-29,"Dental Cleaning","Cleaning done, no dental issues"
2912,2022-10-08,"Annual Checkup","All clear, healthy diet recommended"
9769,2023-05-13,"Annual Checkup","Diet adjustment recommended for weight management"
585,2022-05-27,"Annual Checkup","Vaccination completed, next due in 1 year"
9539,2023-10-11,"Annual Checkup","Vaccination completed, next due in 1 year"
2888,2023-02-01,"Injury","Minor surgery performed, recovery monitored"
7891,2022-12-07,"Dental Cleaning","Cleaning done, no dental issues"
9419,2022-10-03,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8702,2023-03-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8342,2022-04-27,"Annual Checkup","All clear, healthy diet recommended"
8354,2022-05-05,"Annual Checkup","All clear, healthy diet recommended"
2492,2023-07-28,"Annual Checkup","Vaccination completed, next due in 1 year"
7485,2022-09-07,"Dental Cleaning","Cleaning done, no dental issues"
4583,2022-07-30,"Annual Checkup","All clear, healthy diet recommended"
6454,2022-08-29,"Dental Cleaning","Cleaning done, no dental issues"
8353,2023-05-03,"Injury","Physical therapy recommended for joint issues"
5323,2023-03-15,"Dental Cleaning","Cleaning done, no dental issues"
5630,2023-06-12,"Injury","Minor surgery performed, recovery monitored"
2837,2022-10-03,"Injury","Minor surgery performed, recovery monitored"
5334,2023-11-19,"Annual Checkup","Diet adjustment recommended for weight management"
309,2023-06-09,"Annual Checkup","Vaccination completed, next due in 1 year"
7692,2023-10-15,"Ear Infection","Medication and follow-up in 2 weeks for infection"
6482,2022-04-08,"Annual Checkup","All clear, healthy diet recommended"
9659,2023-07-06,"Annual Checkup","Vaccination completed, next due in 1 year"
6556,2023-07-08,"Annual Checkup","Vaccination completed, next due in 1 year"
3190,2022-04-20,"Dental Cleaning","Cleaning done, no dental issues"
3530,2023-01-02,"Dental Cleaning","Cleaning done, no dental issues"
1846,2022-10-16,"Ear Infection","Medication and follow-up in 2 weeks for infection"
8387,2023-09-14,"Annual Checkup","All clear, healthy diet recommended"
1678,2023-02-20,"Annual Checkup","All clear, healthy diet recommended"
9712,2023-12-06,"Dental Cleaning","Cleaning done, no dental issues"
6609,2022-08-17,"Annual Checkup","Vaccination completed, next due in 1 year"
5747,2023-03-19,"Dental Cleaning","Cleaning done, no dental issues"
3856,2023-09-25,"Ear Infection","Medication and follow-up in 2 weeks for infection"
5940,2023-10-18,"Annual Checkup","All clear, healthy diet recommended"
5323,2023-08-12,"Annual Checkup","Diet adjustment recommended for weight management"
2058,2022-06-26,"Annual Checkup","Vaccination completed, next due in 1 year"
8353,2022-06-22,"Dental Cleaning","Cleaning done, no dental issues"
5925,2022-04-25,"Annual Checkup","Vaccination completed, next due in 1 year"
9558,2023-03-05,"Dental Cleaning","Cleaning done, no dental issues"
6338,2022-08-22,"Annual Checkup","Vaccination completed, next due in 1 year"
538,2023-06-14,"Annual Checkup","All clear, healthy diet recommended"
8177,2022-04-02,"Annual Checkup","All clear, healthy diet recommended"
1772,2023-11-05,"Annual Checkup","All clear, healthy diet recommended"
9218,2023-11-24,"Dental Cleaning","Cleaning done, no dental issues"
8710,2022-07-09,"Ear Infection","Medication and follow-up in 2 weeks for infection"
6731,2023-01-30,"Injury","Physical therapy recommended for joint issues"
4438,2022-09-26,"Annual Checkup","Vaccination completed, next due in 1 year"
6518,2023-09-22,"Injury","Sprain identified, rest and limited movement advised"
2869,2023-06-24,"Injury","Physical therapy recommended for joint issues"
3750,2022-12-30,"Injury","Minor surgery performed, recovery monitored"
831,2022-11-15,"Annual Checkup","Vaccination completed, next due in 1 year"
4947,2022-10-20,"Annual Checkup","Vaccination completed, next due in 1 year"
7331,2023-09-25,"Dental Cleaning","Cleaning done, no dental issues"
4073,2023-03-18,"Annual Checkup","All clear, healthy diet recommended"
4768,2022-12-01,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7296,2023-12-07,"Annual Checkup","All clear, healthy diet recommended"
4690,2023-11-29,"Annual Checkup","Diet adjustment recommended for weight management"
2381,2023-10-30,"Dental Cleaning","Cleaning done, no dental issues"
6729,2022-06-03,"Annual Checkup","Vaccination completed, next due in 1 year"
8354,2023-02-19,"Annual Checkup","All clear, healthy diet recommended"
6205,2022-10-19,"Annual Checkup","Diet adjustment recommended for weight management"
4307,2022-04-17,"Dental Cleaning","Cleaning done, no dental issues"
6963,2022-11-03,"Annual Checkup","All clear, healthy diet recommended"
1060,2023-12-02,"Ear Infection","Medication and follow-up in 2 weeks for infection"
2729,2022-08-14,"Annual Checkup","All clear, healthy diet recommended"
503,2023-07-13,"Annual Checkup","All clear, healthy diet recommended"
9960,2023-07-25,"Annual Checkup","Diet adjustment recommended for weight management"
3467,2022-09-19,"Dental Cleaning","Cleaning done, no dental issues"
2415,2022-11-14,"Annual Checkup","Diet adjustment recommended for weight management"
7757,2023-06-09,"Annual Checkup","Vaccination completed, next due in 1 year"
6851,2022-08-21,"Dental Cleaning","Cleaning done, no dental issues"
9236,2023-11-28,"Injury","Minor surgery performed, recovery monitored"
9271,2023-07-22,"Dental Cleaning","Cleaning done, no dental issues"
9946,2022-12-09,"Dental Cleaning","Cleaning done, no dental issues"
5578,2022-10-14,"Annual Checkup","Diet adjustment recommended for weight management"
9163,2023-07-30,"Dental Cleaning","Cleaning done, no dental issues"
6102,2023-11-16,"Annual Checkup","Diet adjustment recommended for weight management"
8697,2022-11-25,"Injury","Minor surgery performed, recovery monitored"
7331,2022-04-06,"Annual Checkup","Diet adjustment recommended for weight management"
5194,2022-05-23,"Dental Cleaning","Cleaning done, no dental issues"
3828,2022-06-15,"Dental Cleaning","Cleaning done, no dental issues"
1370,2023-06-20,"Annual Checkup","Diet adjustment recommended for weight management"
1939,2023-01-10,"Dental Cleaning","Cleaning done, no dental issues"
4212,2023-08-28,"Dental Cleaning","Cleaning done, no dental issues"
8586,2023-06-08,"Annual Checkup","Diet adjustment recommended for weight management"
7113,2023-01-12,"Annual Checkup","Vaccination completed, next due in 1 year"
3612,2023-07-23,"Annual Checkup","All clear, healthy diet recommended"
6617,2023-02-07,"Annual Checkup","Vaccination completed, next due in 1 year"
9968,2022-10-03,"Dental Cleaning","Cleaning done, no dental issues"
6121,2023-12-08,"Annual Checkup","All clear, healthy diet recommended"
5243,2023-07-03,"Annual Checkup","All clear, healthy diet recommended"
3767,2022-07-29,"Annual Checkup","Vaccination completed, next due in 1 year"
5925,2023-10-30,"Annual Checkup","Vaccination completed, next due in 1 year"
6121,2022-05-31,"Annual Checkup","Diet adjustment recommended for weight management"
5789,2023-09-07,"Injury","Minor surgery performed, recovery monitored"
5421,2022-11-08,"Dental Cleaning","Cleaning done, no dental issues"
7416,2023-01-27,"Dental Cleaning","Cleaning done, no dental issues"
4150,2022-07-28,"Annual Checkup","All clear, healthy diet recommended"
2747,2023-11-07,"Dental Cleaning","Cleaning done, no dental issues"
1001,2023-03-25,"Annual Checkup","Vaccination completed, next due in 1 year"
6556,2023-09-03,"Injury","Minor surgery performed, recovery monitored"
9,2023-01-13,"Dental Cleaning","Cleaning done, no dental issues"
8702,2022-09-17,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9136,2022-04-06,"Injury","Physical therapy recommended for joint issues"
4278,2023-09-24,"Annual Checkup","All clear, healthy diet recommended"
8705,2022-09-21,"Dental Cleaning","Cleaning done, no dental issues"
5747,2023-05-07,"Injury","Minor surgery performed, recovery monitored"
1956,2023-09-01,"Annual Checkup","All clear, healthy diet recommended"
9124,2022-11-23,"Ear Infection","Medication and follow-up in 2 weeks for infection"
7799,2023-02-17,"Dental Cleaning","Cleaning done, no dental issues"
3617,2023-12-22,"Annual Checkup","Vaccination completed, next due in 1 year"
9856,2023-01-15,"Dental Cleaning","Cleaning done, no dental issues"
3569,2022-10-12,"Ear Infection","Medication and follow-up in 2 weeks for infection"
9187,2022-07-18,"Annual Checkup","Vaccination completed, next due in 1 year"
8676,2022-10-13,"Injury","Sprain identified, rest and limited movement advised"
8510,2022-06-02,"Injury","Sprain identified, rest and limited movement advised"
3750,2023-02-14,"Annual Checkup","Vaccination completed, next due in 1 year"
1678,2023-07-09,"Annual Checkup","All clear, healthy diet recommended"
1939,2023-01-19,"Annual Checkup","Diet adjustment recommended for weight management"
2726,2022-08-26,"Dental Cleaning","Cleaning done, no dental issues"
6556,2022-04-06,"Dental Cleaning","Cleaning done, no dental issues"
1963,2023-08-24,"Annual Checkup","All clear, healthy diet recommended"
8840,2023-07-22,"Annual Checkup","Diet adjustment recommended for weight management"
6482,2023-07-08,"Annual Checkup","All clear, healthy diet recommended"
2590,2023-12-14,"Annual Checkup","All clear, healthy diet recommended"
2898,2022-08-19,"Annual Checkup","All clear, healthy diet recommended"
9525,2022-08-14,"Annual Checkup","All clear, healthy diet recommended"
2191,2022-12-03,"Annual Checkup","Diet adjustment recommended for weight management"
9445,2023-07-01,"Annual Checkup","Diet adjustment recommended for weight management"
717,2022-09-07,"Annual Checkup","Vaccination completed, next due in 1 year"
7004,2023-11-30,"Annual Checkup","All clear, healthy diet recommended"
8940,2022-05-23,"Annual Checkup","Diet adjustment recommended for weight management"
9379,2023-02-15,"Annual Checkup","All clear, healthy diet recommended"
2837,2023-08-05,"Annual Checkup","Vaccination completed, next due in 1 year"
4438,2022-04-13,"Annual Checkup","Vaccination completed, next due in 1 year"
9581,2022-04-07,"Dental Cleaning","Cleaning done, no dental issues"
1949,2023-02-14,"Dental Cleaning","Cleaning done, no dental issues"
3484,2023-04-28,"Dental Cleaning","Cleaning done, no dental issues"
6556,2023-12-09,"Annual Checkup","Diet adjustment recommended for weight management"
8226,2023-09-27,"Annual Checkup","Diet adjustment recommended for weight management"
9695,2023-02-06,"Injury","Minor surgery performed, recovery monitored"
658,2022-07-23,"Dental Cleaning","Cleaning done, no dental issues"
3846,2023-02-05,"Annual Checkup","Diet adjustment recommended for weight management"
9379,2022-04-21,"Ear Infection","Medication and follow-up in 2 weeks for infection"
3821,2023-10-02,"Annual Checkup","Diet adjustment recommended for weight management"
2287,2023-01-18,"Annual Checkup","All clear, healthy diet recommended"
9561,2022-11-10,"Annual Checkup","Diet adjustment recommended for weight management"
6518,2023-03-11,"Dental Cleaning","Cleaning done, no dental issues"
5288,2023-10-17,"Annual Checkup","Diet adjustment recommended for weight management"
9218,2023-06-01,"Annual Checkup","All clear, healthy diet recommended"
3026,2023-05-12,"Injury","Minor surgery performed, recovery monitored"
4834,2023-09-17,"Injury","Minor surgery performed, recovery monitored"
2178,2023-09-15,"Dental Cleaning","Cleaning done, no dental issues"
7485,2022-08-11,"Annual Checkup","All clear, healthy diet recommended"
9136,2022-04-15,"Annual Checkup","All clear, healthy diet recommended"
3228,2023-07-30,"Injury","Physical therapy recommended for joint issues"
9163,2023-01-20,"Annual Checkup","Vaccination completed, next due in 1 year"
2805,2022-05-28,"Injury","Sprain identified, rest and limited movement advised"
8070,2022-09-14,"Injury","Physical therapy recommended for joint issues"
