"owner_id","pet_id","owner_age_group","pet_type"
7016,9930,"18-25","Dog"
5637,3040,"18-25","Rabbit"
5366,2381,"18-25","Rabbit"
7063,3936,"26-35","Hamster"
3803,8989,"36-45","Dog"
5611,627,"46-55","Fish"
3504,3132,"66+","Rabbit"
5933,9988,"56-65","Rabbit"
4333,3735,"26-35","Cat"
5820,3035,"66+","Fish"
130,4339,"18-25","Rabbit"
2979,3686,"26-35","Rabbit"
9136,9230,"46-55","Rabbit"
7880,3223,"26-35","Cat"
787,3612,"36-45","Fish"
7018,7393,"18-25","Dog"
4166,1001,"46-55","Dog"
9890,7267,"56-65","Hamster"
5568,6725,"56-65","Dog"
936,3225,"26-35","Hamster"
7739,4238,"56-65","Cat"
2818,1956,"56-65","Rabbit"
4954,2058,"36-45","Fish"
2456,6332,"26-35","Rabbit"
7147,9689,"46-55","Rabbit"
4101,9419,"36-45","Hamster"
9442,2178,"36-45","Dog"
9951,3001,"26-35","Cat"
659,9769,"46-55","Hamster"
4302,5468,"46-55","Fish"
8612,2549,"36-45","Dog"
725,7956,"66+","Hamster"
8562,5747,"36-45","Dog"
7965,1382,"36-45","Dog"
4983,2869,"36-45","Cat"
5818,5975,"18-25","Cat"
4944,8805,"46-55","Hamster"
5743,8244,"66+","Fish"
6652,8007,"18-25","Rabbit"
3723,6103,"66+","Rabbit"
6343,2882,"56-65","Dog"
576,1297,"26-35","Fish"
3475,850,"26-35","Hamster"
7642,1640,"36-45","Hamster"
1992,5071,"18-25","Fish"
7768,4583,"26-35","Rabbit"
3258,5062,"36-45","Cat"
4495,9305,"18-25","Dog"
4135,1585,"18-25","Fish"
4725,8285,"18-25","Dog"
7979,7818,"46-55","Hamster"
6043,427,"66+","Rabbit"
8116,9223,"56-65","Cat"
2797,1925,"46-55","Dog"
5761,7030,"26-35","Rabbit"
4990,9367,"56-65","Hamster"
1339,3088,"18-25","Hamster"
4929,2342,"66+","Hamster"
1495,9539,"56-65","Dog"
7003,4150,"36-45","Fish"
9753,4001,"46-55","Hamster"
4680,1906,"18-25","Rabbit"
9685,585,"26-35","Dog"
2391,8226,"56-65","Rabbit"
7956,579,"56-65","Dog"
7165,7022,"56-65","Dog"
8609,3846,"56-65","Fish"
2527,5984,"18-25","Fish"
342,7716,"66+","Cat"
9044,4480,"46-55","Hamster"
9842,3821,"26-35","Hamster"
3445,6939,"46-55","Rabbit"
8044,6609,"36-45","Cat"
9015,5334,"26-35","Cat"
9215,9407,"26-35","Hamster"
1251,1173,"56-65","Cat"
1052,8631,"66+","Hamster"
9579,4937,"26-35","Hamster"
667,2528,"26-35","Fish"
8967,7642,"26-35","Rabbit"
3588,8840,"18-25","Fish"
8009,5919,"26-35","Fish"
5373,9466,"26-35","Rabbit"
2814,7117,"66+","Hamster"
9972,306,"66+","Rabbit"
4240,309,"66+","Rabbit"
8942,3530,"36-45","Hamster"
4562,7296,"26-35","Dog"
4945,9357,"56-65","Rabbit"
2654,4307,"56-65","Hamster"
7913,8149,"66+","Dog"
6916,83,"26-35","Hamster"
9242,3988,"56-65","Cat"
5039,5691,"66+","Dog"
683,1261,"46-55","Dog"
3739,5622,"66+","Cat"
9304,3467,"18-25","Fish"
7620,1115,"26-35","Rabbit"
4797,2429,"36-45","Dog"
3884,782,"26-35","Cat"
8726,2893,"66+","Dog"
6231,6194,"46-55","Cat"
1722,3946,"66+","Cat"
6526,694,"26-35","Hamster"
3846,8804,"46-55","Fish"
4317,8710,"56-65","Dog"
4457,5421,"26-35","Rabbit"
1806,4643,"36-45","Hamster"
4144,8070,"36-45","Fish"
6524,4278,"46-55","Cat"
9186,5610,"36-45","Fish"
4991,9721,"26-35","Rabbit"
5185,7172,"18-25","Rabbit"
2160,7190,"36-45","Hamster"
7893,5940,"56-65","Fish"
9346,2060,"46-55","Hamster"
592,7706,"56-65","Hamster"
360,1888,"36-45","Fish"
2443,2733,"56-65","Rabbit"
9512,1345,"18-25","Fish"
2135,9578,"46-55","Fish"
8034,1772,"18-25","Cat"
1745,5823,"36-45","Cat"
6362,9356,"18-25","Hamster"
321,601,"18-25","Fish"
2533,6409,"26-35","Fish"
6873,7010,"36-45","Fish"
5266,2448,"26-35","Hamster"
1403,6102,"46-55","Hamster"
755,3340,"18-25","Hamster"
1578,4726,"66+","Rabbit"
5059,3224,"36-45","Cat"
1559,2299,"18-25","Hamster"
3438,5890,"46-55","Cat"
9906,5406,"66+","Fish"
7119,6806,"56-65","Dog"
1208,2262,"26-35","Rabbit"
1365,2590,"26-35","Dog"
3428,5643,"56-65","Rabbit"
8303,6683,"66+","Cat"
6469,9271,"56-65","Rabbit"
6689,1057,"46-55","Fish"
5338,7972,"56-65","Hamster"
8254,9163,"46-55","Hamster"
939,6917,"26-35","Dog"
797,6740,"46-55","Cat"
9401,2747,"26-35","Hamster"
5210,5958,"36-45","Fish"
2966,9874,"46-55","Fish"
3974,5243,"46-55","Cat"
2552,9218,"26-35","Fish"
1146,1678,"36-45","Dog"
3009,2547,"36-45","Hamster"
3173,1963,"66+","Dog"
1107,6556,"56-65","Dog"
4121,5987,"66+","Hamster"
785,1239,"36-45","Fish"
9232,6897,"36-45","Cat"
8475,5925,"56-65","Hamster"
7906,6934,"26-35","Cat"
5633,9322,"26-35","Fish"
1387,473,"56-65","Hamster"
3664,9445,"18-25","Dog"
3641,7936,"36-45","Fish"
446,3466,"46-55","Hamster"
1614,1169,"56-65","Cat"
12,6518,"46-55","Dog"
9437,5457,"18-25","Fish"
1834,1417,"46-55","Rabbit"
3777,6617,"36-45","Fish"
6776,542,"18-25","Hamster"
4975,9525,"18-25","Fish"
3390,8418,"56-65","Rabbit"
7087,1207,"26-35","Rabbit"
2269,4777,"36-45","Rabbit"
1201,5194,"56-65","Dog"
6225,1343,"18-25","Hamster"
8267,2840,"46-55","Fish"
6511,2094,"46-55","Cat"
4116,8412,"18-25","Hamster"
6541,6172,"18-25","Hamster"
6103,4045,"46-55","Dog"
5899,1309,"18-25","Hamster"
4043,6851,"56-65","Dog"
5887,5578,"18-25","Cat"
6864,5863,"36-45","Dog"
8251,8177,"18-25","Dog"
885,5789,"26-35","Hamster"
9686,4584,"36-45","Hamster"
7057,2287,"66+","Rabbit"
4754,8903,"66+","Fish"
6899,6480,"66+","Dog"
359,2415,"46-55","Rabbit"
4776,5699,"26-35","Fish"
7330,7515,"18-25","Rabbit"
5416,831,"46-55","Cat"
7022,7482,"26-35","Rabbit"
3792,5091,"26-35","Cat"
1457,7757,"18-25","Hamster"
6053,7692,"36-45","Hamster"
8154,3727,"66+","Dog"
8152,774,"26-35","Dog"
7658,6141,"56-65","Dog"
8590,7416,"18-25","Hamster"
9708,2837,"56-65","Fish"
8599,2898,"46-55","Cat"
3823,741,"26-35","Rabbit"
6055,5632,"26-35","Cat"
487,6838,"36-45","Rabbit"
3276,7833,"46-55","Fish"
2769,8354,"26-35","Fish"
2969,4098,"66+","Rabbit"
26,2729,"46-55","Rabbit"
3985,7281,"18-25","Fish"
264,3300,"66+","Hamster"
8286,3289,"46-55","Hamster"
8158,5540,"56-65","Dog"
8793,5445,"56-65","Hamster"
1102,9900,"36-45","Dog"
4834,3520,"36-45","Hamster"
7822,3420,"66+","Fish"
6918,637,"56-65","Cat"
3456,5107,"36-45","Fish"
6060,7825,"56-65","Dog"
4180,7778,"46-55","Rabbit"
4091,5563,"36-45","Rabbit"
6780,7891,"56-65","Dog"
5569,8746,"66+","Dog"
7886,997,"26-35","Hamster"
4517,5345,"66+","Cat"
7961,6896,"56-65","Dog"
9364,8586,"66+","Hamster"
7672,6467,"26-35","Fish"
2345,9115,"36-45","Fish"
4154,9452,"18-25","Rabbit"
5668,4073,"46-55","Hamster"
7968,3856,"66+","Hamster"
9723,9244,"66+","Rabbit"
2733,3220,"26-35","Fish"
6471,2144,"46-55","Fish"
6699,7766,"56-65","Rabbit"
8397,8455,"18-25","Rabbit"
6591,8349,"26-35","Rabbit"
8360,1441,"18-25","Hamster"
1036,696,"26-35","Rabbit"
9788,6620,"46-55","Hamster"
9887,217,"26-35","Dog"
479,7212,"18-25","Cat"
9337,4947,"56-65","Rabbit"
1835,9008,"36-45","Rabbit"
6530,5090,"26-35","Hamster"
6618,2726,"56-65","Fish"
5464,5216,"36-45","Fish"
477,4778,"56-65","Cat"
6252,8342,"36-45","Rabbit"
2804,8981,"18-25","Rabbit"
4554,3605,"66+","Cat"
499,6919,"36-45","Hamster"
2263,337,"36-45","Cat"
1279,4690,"66+","Dog"
1336,8103,"26-35","Fish"
3196,6087,"26-35","Hamster"
4004,4024,"56-65","Dog"
1961,3147,"18-25","Dog"
2037,3026,"66+","Rabbit"
980,6729,"46-55","Hamster"
200,8237,"66+","Fish"
7703,751,"46-55","Fish"
1621,1564,"18-25","Rabbit"
5345,532,"18-25","Fish"
818,1366,"56-65","Dog"
7350,7788,"36-45","Dog"
4697,5008,"66+","Dog"
7440,833,"66+","Fish"
13,3370,"66+","Hamster"
2479,3154,"66+","Hamster"
674,1635,"26-35","Hamster"
3326,1159,"18-25","Cat"
5690,9018,"46-55","Rabbit"
1001,1060,"56-65","Rabbit"
7211,8208,"36-45","Fish"
6128,9581,"66+","Rabbit"
9137,209,"56-65","Fish"
1269,5503,"46-55","Cat"
5102,986,"18-25","Hamster"
153,3410,"66+","Dog"
8343,6435,"26-35","Hamster"
1912,8518,"26-35","Rabbit"
1625,239,"36-45","Fish"
6083,503,"66+","Fish"
5150,6901,"46-55","Dog"
8413,9555,"26-35","Hamster"
3870,556,"26-35","Fish"
6402,9695,"66+","Fish"
9477,4734,"66+","Rabbit"
6327,2805,"36-45","Rabbit"
9741,1846,"56-65","Rabbit"
6230,2016,"56-65","Dog"
9638,2350,"36-45","Rabbit"
2639,9191,"66+","Hamster"
9264,2544,"56-65","Rabbit"
2115,5231,"36-45","Rabbit"
1937,6205,"56-65","Rabbit"
560,9684,"18-25","Hamster"
9853,8877,"36-45","Cat"
4534,3017,"46-55","Hamster"
129,7680,"66+","Rabbit"
4485,9071,"56-65","Hamster"
7098,2471,"46-55","Dog"
329,3100,"66+","Dog"
6355,3884,"66+","Rabbit"
9867,4346,"46-55","Fish"
94,8353,"18-25","Fish"
8722,3463,"18-25","Hamster"
7299,5799,"26-35","Fish"
6845,4438,"56-65","Cat"
8159,4934,"46-55","Cat"
7557,7331,"36-45","Cat"
8319,1939,"26-35","Cat"
7419,2783,"26-35","Rabbit"
9222,6147,"26-35","Hamster"
3636,6241,"18-25","Hamster"
7009,9692,"46-55","Cat"
2402,5404,"36-45","Rabbit"
6660,6689,"66+","Fish"
3539,9712,"36-45","Cat"
4032,9632,"36-45","Rabbit"
7641,5850,"46-55","Dog"
4850,9561,"66+","Fish"
9359,864,"18-25","Cat"
3080,3885,"56-65","Cat"
1451,9,"46-55","Hamster"
3425,4912,"66+","Dog"
6556,9922,"46-55","Fish"
472,3484,"36-45","Hamster"
160,8387,"36-45","Cat"
4311,9319,"36-45","Hamster"
4597,5693,"18-25","Fish"
1749,6963,"56-65","Rabbit"
258,9558,"46-55","Rabbit"
5930,9221,"36-45","Fish"
7214,3587,"26-35","Hamster"
5293,538,"46-55","Fish"
6925,3190,"46-55","Fish"
9937,3330,"36-45","Rabbit"
5392,4995,"36-45","Rabbit"
3252,8676,"18-25","Fish"
195,2881,"26-35","Fish"
4092,6482,"46-55","Fish"
4315,2289,"66+","Fish"
654,6859,"56-65","Cat"
5976,5630,"36-45","Dog"
3138,1370,"18-25","Hamster"
768,5555,"18-25","Cat"
6300,236,"18-25","Fish"
4500,9030,"18-25","Hamster"
6792,8940,"66+","Fish"
1748,1322,"66+","Fish"
3447,8691,"26-35","Fish"
459,9485,"66+","Hamster"
4702,6089,"18-25","Fish"
4000,1006,"18-25","Cat"
2238,2441,"18-25","Rabbit"
4482,9618,"18-25","Fish"
3183,3767,"36-45","Dog"
187,2888,"36-45","Rabbit"
4535,249,"56-65","Dog"
8924,5395,"26-35","Fish"
8847,9968,"56-65","Hamster"
8128,3304,"46-55","Fish"
9659,9946,"26-35","Fish"
9515,3750,"26-35","Dog"
6294,3695,"56-65","Fish"
9466,6209,"56-65","Hamster"
8775,1216,"26-35","Fish"
9672,7975,"56-65","Hamster"
6054,7666,"26-35","Rabbit"
496,8572,"66+","Rabbit"
6405,3784,"46-55","Fish"
9915,2191,"36-45","Rabbit"
1231,7004,"66+","Dog"
9548,3291,"56-65","Fish"
6072,658,"18-25","Dog"
3060,3617,"66+","Dog"
290,5288,"56-65","Dog"
4878,9472,"46-55","Cat"
8827,1949,"46-55","Rabbit"
9637,717,"46-55","Dog"
6893,1047,"18-25","Dog"
6619,8789,"18-25","Rabbit"
658,2284,"26-35","Rabbit"
5508,3638,"56-65","Dog"
948,9186,"66+","Rabbit"
8149,5418,"18-25","Dog"
2829,4195,"66+","Fish"
9603,6121,"66+","Fish"
7351,2901,"46-55","Dog"
3958,3309,"56-65","Hamster"
2607,2735,"66+","Hamster"
7271,6778,"36-45","Cat"
4465,3830,"46-55","Dog"
5397,1292,"18-25","Dog"
7969,5501,"26-35","Rabbit"
6601,4899,"56-65","Dog"
1811,2235,"26-35","Cat"
4593,8047,"26-35","Rabbit"
7039,6315,"56-65","Dog"
655,6075,"26-35","Fish"
1349,884,"46-55","Cat"
922,6824,"56-65","Cat"
119,5037,"26-35","Fish"
8087,8716,"66+","Dog"
343,8868,"46-55","Rabbit"
8368,9187,"66+","Rabbit"
2214,2630,"18-25","Cat"
6278,7485,"56-65","Dog"
4293,4592,"46-55","Hamster"
2392,8510,"18-25","Cat"
4424,4410,"56-65","Cat"
9306,2794,"66+","Dog"
4094,6338,"46-55","Fish"
6975,3414,"26-35","Rabbit"
2027,5198,"36-45","Hamster"
2385,3057,"26-35","Hamster"
418,2843,"46-55","Hamster"
351,9481,"36-45","Fish"
3162,4853,"56-65","Dog"
254,4768,"56-65","Dog"
3521,6454,"26-35","Hamster"
6194,5323,"66+","Rabbit"
4531,4539,"18-25","Dog"
3794,5968,"46-55","Fish"
8470,7144,"56-65","Rabbit"
2614,1540,"26-35","Rabbit"
6281,5336,"46-55","Cat"
310,2755,"18-25","Rabbit"
6429,5301,"56-65","Fish"
629,9706,"46-55","Rabbit"
5367,4834,"26-35","Dog"
1419,7970,"36-45","Hamster"
9128,500,"26-35","Cat"
6851,5860,"18-25","Dog"
3061,8697,"18-25","Rabbit"
1903,9379,"46-55","Fish"
1558,1993,"66+","Hamster"
3039,1902,"36-45","Dog"
901,9718,"26-35","Cat"
3740,5659,"46-55","Cat"
4979,2709,"26-35","Cat"
27,2513,"46-55","Dog"
2664,4761,"56-65","Cat"
480,3723,"56-65","Dog"
1424,8993,"66+","Cat"
8337,8705,"66+","Rabbit"
5361,6602,"18-25","Cat"
7877,3828,"46-55","Fish"
7485,8702,"56-65","Dog"
3114,4955,"66+","Dog"
1085,2777,"66+","Hamster"
5687,1303,"18-25","Fish"
853,6032,"26-35","Cat"
6204,9236,"66+","Fish"
4044,2912,"18-25","Hamster"
6305,8318,"18-25","Fish"
9632,1334,"26-35","Dog"
7785,5017,"36-45","Cat"
7816,7352,"56-65","Hamster"
5114,7799,"36-45","Fish"
8142,1735,"56-65","Fish"
2224,4074,"36-45","Cat"
4304,6331,"46-55","Hamster"
2099,2218,"46-55","Rabbit"
8458,215,"26-35","Dog"
1502,9227,"56-65","Hamster"
5909,6816,"26-35","Fish"
9435,5414,"26-35","Dog"
7635,248,"66+","Dog"
2752,8967,"66+","Dog"
1955,7785,"26-35","Rabbit"
858,9960,"18-25","Cat"
5015,9659,"18-25","Dog"
4741,8396,"36-45","Fish"
9731,7298,"26-35","Cat"
7472,9813,"66+","Hamster"
1972,8136,"18-25","Dog"
1407,6376,"56-65","Rabbit"
6427,2278,"26-35","Hamster"
3923,1286,"36-45","Fish"
630,9179,"46-55","Rabbit"
9116,3444,"66+","Rabbit"
8432,3228,"66+","Fish"
6166,9124,"26-35","Rabbit"
58,4056,"46-55","Hamster"
7985,454,"26-35","Fish"
7766,8833,"18-25","Hamster"
1444,379,"36-45","Cat"
8252,2887,"36-45","Rabbit"
9742,7080,"66+","Cat"
2761,6534,"26-35","Cat"
8605,150,"26-35","Rabbit"
2303,4212,"56-65","Dog"
4090,4747,"18-25","Hamster"
2075,6731,"46-55","Dog"
3324,2813,"18-25","Rabbit"
8706,4192,"56-65","Rabbit"
3070,1204,"18-25","Cat"
8490,7113,"36-45","Rabbit"
7142,516,"66+","Rabbit"
8179,7374,"46-55","Rabbit"
8648,1901,"56-65","Cat"
3596,121,"18-25","Rabbit"
109,1968,"26-35","Cat"
5088,4452,"18-25","Cat"
3245,428,"56-65","Dog"
3887,4060,"36-45","Fish"
5249,2717,"18-25","Fish"
3839,9167,"46-55","Cat"
6170,9011,"18-25","Cat"
7325,2492,"46-55","Cat"
3553,9136,"18-25","Dog"
9424,9856,"36-45","Dog"
915,3569,"36-45","Dog"
